id;template_name;template_duration;template_description;template_rating;template_active;template_type;template_expected_size;template_count;template_visible_for;ratio;preview_url
1;Car;India drive;mobile RSS;2023-04-13T06:37:54;true;Ball;Burundi quantifying input;Architect;primary synthesizing;Louisiana Senior;Argentine
2;generating deposit Cheese;monitor;Specialist;2023-04-12T17:55:48;false;haptic Spur;Via application;turn-key ivory;Arizona state;Jamaica;hacking Tunisian enable
3;invoice;Road Avon card;Arkansas Alabama systemic;2023-04-13T02:47:10;false;orchid;Paraguay connecting Ball;optical;Uganda Internal;empower payment;Avon online Borders
4;PCI;Rupiah Washington Developer;azure Light Bedfordshire;2023-04-13T00:43:53;true;bus Incredible fault-tolerant;gold;methodology Nevada;copy Checking XSS;Shirt Intranet;neural Market
5;overriding Buckinghamshire visionary;Belize bypass Cotton;Practical Sleek;2023-04-13T04:23:39;false;maximize website;Chair web-readiness feed;cultivate Multi-lateral models;national;Identity invoice Orchestrator;didactic Hryvnia
6;enhance;Internal deposit;Right-sized Designer Internal;2023-04-13T02:02:41;true;transform Handmade;Market Brand;HDD Plastic generate;Strategist;integrated cultivate Coordinator;Surinam incubate primary
7;actuating Investment Avon;National Engineer;conglomeration Ridges;2023-04-12T16:16:09;false;auxiliary;Directives Senior;Maine integrated SDD;Buckinghamshire Grocery Shilling;Tasty National Cambridgeshire;Operations
8;blockchains;Iraqi;empowering;2023-04-13T10:17:25;false;payment parallelism;transform transmit;payment Officer;Fish Optional;Fresh payment;copy
9;edge;Cotton;Frozen scalable Metal;2023-04-12T23:39:29;false;green Cambridgeshire;Books generating Manat;Station system;Shoes;African;navigating product Haiti
10;Kroon COM;sky;Delaware Beauty;2023-04-13T02:26:43;false;optimize;Aruban leading;withdrawal Gabon withdrawal;bypassing program CSS;Applications eco-centric orchid;Music Persevering
